Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Ent's Fury,LTR,The Lord of the Rings: Tales of Middle-earth,164,normal,common,1,83494,c7946af6-69ab-47a1-955c-1954a04752df,de,01.03.2025
Gift of Strands,LTR,The Lord of the Rings: Tales of Middle-earth,170,normal,uncommon,1,83277,8c54ee0c-1432-4f20-9a92-2cdfcbab30ac,de,01.03.2025
Bombadil's Song,LTR,The Lord of the Rings: Tales of Middle-earth,154,normal,common,1,83137,6391699e-987a-499f-9fec-96f2362760b9,de,01.03.2025
Mirrormere Guardian,LTR,The Lord of the Rings: Tales of Middle-earth,179,normal,common,1,83244,8315d7cc-fc2c-45b1-8340-11ff2af3beb5,de,01.03.2025
Dúnedain Rangers,LTR,The Lord of the Rings: Tales of Middle-earth,159,normal,uncommon,1,83133,630e1e36-2f5d-44d4-9ff2-19ae75295016,de,01.03.2025
Mirkwood Spider,LTR,The Lord of the Rings: Tales of Middle-earth,178,normal,common,1,83388,ad961ba1-c74f-4a44-87fe-b30e2b63e378,de,01.03.2025
Meriadoc Brandybuck,LTR,The Lord of the Rings: Tales of Middle-earth,177,normal,uncommon,1,83266,885a3277-ef10-4dcf-ac63-eb8971cd627c,de,01.03.2025
Brandywine Farmer,LTR,The Lord of the Rings: Tales of Middle-earth,155,normal,common,1,82904,1c24b5fa-506d-4eaf-881b-bc282c74a16c,de,01.03.2025
Delighted Halfling,LTR,The Lord of the Rings: Tales of Middle-earth,158,normal,rare,1,83185,71384418-173a-4f77-adab-56e52fa23692,de,01.03.2025
Elanor Gardner,LTR,The Lord of the Rings: Tales of Middle-earth,286,normal,rare,1,83124,6165eb73-49a8-4337-aa5d-7d9d48b916c9,de,01.03.2025
"Quickbeam, Upstart Ent",LTR,The Lord of the Rings: Tales of Middle-earth,183,normal,uncommon,1,83434,b889037f-b95f-4756-80aa-04097d2818c3,de,01.03.2025
Revive the Shire,LTR,The Lord of the Rings: Tales of Middle-earth,185,normal,common,1,83045,46b7f493-1b57-4b07-8510-30703282f879,de,01.03.2025
Nimrodel Watcher,LTR,The Lord of the Rings: Tales of Middle-earth,63,normal,common,1,83473,c253ee40-41c9-4cb5-a1a3-94b0aaed09d4,de,01.03.2025
Ithilien Kingfisher,LTR,The Lord of the Rings: Tales of Middle-earth,58,normal,common,1,83158,68c29762-6859-4564-9e1d-a87fa63b951a,de,01.03.2025
Saruman the White,LTR,The Lord of the Rings: Tales of Middle-earth,67,normal,uncommon,1,82903,1bfccbab-29fa-4e92-8919-6cd4815fb655,de,01.03.2025
Saruman's Trickery,LTR,The Lord of the Rings: Tales of Middle-earth,68,normal,uncommon,1,83284,8eb6c23b-e52e-4533-9625-884eb0a4d866,de,01.03.2025
