Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Chocobo Knights,FIC,Final Fantasy Commander,12,normal,rare,1,106222,e874e435-7ade-4299-9803-1358c0f07a8f,de,08.06.2025
Alphinaud Leveilleur,FIC,Final Fantasy Commander,33,normal,rare,1,105966,65331e86-1ff3-45e4-b789-7afec4ca9bd5,de,08.06.2025
Undercity Dire Rat,FIN,Final Fantasy,123,normal,common,1,106270,274788f4-fbf3-4a15-bdc0-f513a2fde30d,de,08.06.2025
Chocobo Kick,FIN,Final Fantasy,178,normal,common,1,106698,ff8c8be0-8223-499c-8704-cb68e0a42ce2,de,08.06.2025
Retrieve the Esper,FIN,Final Fantasy,68,normal,common,1,106301,ebd733f0-8883-434a-b36c-ef76b091fe8e,de,08.06.2025
Suplex,FIN,Final Fantasy,164,normal,common,1,106376,f61693a2-7042-44e0-85ba-9bf12ab94e7e,de,08.06.2025
Black Mage's Rod,FIN,Final Fantasy,90,normal,common,1,105591,35e8f140-055f-4fc7-a765-fb030d828214,de,08.06.2025
Auron's Inspiration,FIN,Final Fantasy,8,normal,uncommon,1,106349,77d82764-563c-4bc2-b568-625ec7215e0d,de,08.06.2025
Gaelicat,FIN,Final Fantasy,22,normal,common,1,106528,29606c49-e1a4-49c3-883b-9122c08bbbc7,de,08.06.2025
Dark Confidant,FIN,Final Fantasy,94,normal,mythic,1,105571,2520ab23-a068-4462-b261-2754409b4108,de,08.06.2025
Summon: Choco/Mog,FIN,Final Fantasy,358,normal,common,1,106639,b95481b1-1780-4cf9-b910-dd0a4461f818,de,08.06.2025
Summon: Shiva,FIN,Final Fantasy,78,normal,uncommon,1,103800,a80511f8-7cb1-4974-afde-8a5cebe13ad7,en,08.06.2025
Farseek,FCA,Final Fantasy: Through the Ages,45,normal,uncommon,1,106460,f36f237f-6b44-4513-ba5d-fe6b4936f78e,de,08.06.2025
Bird,TFIN,Final Fantasy Tokens,16,normal,common,1,106716,1fbc471d-5948-47fc-b7cc-81cc13a4cd15,de,08.06.2025
"Gohn, Town of Ruin",FIN,Final Fantasy,278,normal,common,1,106602,99582781-613e-4a33-aec7-7569b4a961aa,de,08.06.2025
Prishe's Wanderings,FIN,Final Fantasy,193,normal,common,1,106658,d6e1dee0-e2cd-4899-a3ea-7d0df717c9ab,de,08.06.2025
Wizard,TFIN,Final Fantasy Tokens,14,normal,common,1,105559,187fe54c-7d0c-4225-9d46-3affbead897d,de,08.06.2025
Fate of the Sun-Cryst,FIN,Final Fantasy,19,normal,common,1,106287,900cdf11-b42e-4dcc-97c3-2e4d8e406a70,de,08.06.2025
Warrior's Sword,FIN,Final Fantasy,169,normal,common,1,106296,cb98a7dd-542e-4448-b3bb-ff5d67a36535,de,08.06.2025
Rook Turret,FIN,Final Fantasy,69,normal,common,1,106541,4572884d-0c0e-41e7-b219-f76b95fdbd01,de,08.06.2025
Cornered by Black Mages,FIN,Final Fantasy,93,normal,common,1,106564,688fcf8a-0a44-416a-8086-83acf9a6fe69,de,08.06.2025
Samurai's Katana,FIN,Final Fantasy,154,normal,uncommon,1,106267,11f1d378-c78c-402a-ac46-2d32598c23e7,de,08.06.2025
Adventurer's Inn,FIN,Final Fantasy,271,normal,common,1,105754,f0da2ee1-986e-4cbf-92eb-d96fdb572ca5,de,08.06.2025
Tonberry,FIN,Final Fantasy,122,normal,uncommon,1,103781,1a9b8723-4383-4c14-b24d-52863af8703d,de,08.06.2025
The Earth Crystal,FIN,Final Fantasy,184,normal,rare,1,106451,d585e218-3dc8-4fbd-8ad2-795fbc9b2155,de,08.06.2025
PuPu UFO,FIN,Final Fantasy,266,normal,uncommon,1,106353,989b52f7-d8a5-4488-9a5d-f14a1d48686d,de,08.06.2025
"Tidus, Blitzball Star",FIN,Final Fantasy,246,normal,uncommon,1,106447,aa851d68-a7a4-48c0-9cd7-d3d2e079f3a1,de,08.06.2025
"Gilgamesh, Master-at-Arms",FIN,Final Fantasy,139,normal,rare,1,105563,1eb81329-fb7a-4347-b96c-9960a5c48e87,de,08.06.2025
Gysahl Greens,FIN,Final Fantasy,190,normal,common,1,106494,020dee17-d85b-44c4-9faa-b1ef977956f4,de,08.06.2025
"Insomnia, Crown City",FIN,Final Fantasy,282,normal,common,1,106502,07fca511-a65c-4779-82c0-9215b0dcd068,de,08.06.2025
Item Shopkeep,FIN,Final Fantasy,142,normal,common,1,106293,bd2db3f5-fd0d-4817-af90-6bea1f07e16b,de,08.06.2025
Hill Gigas,FIN,Final Fantasy,141,normal,common,1,106529,2a8b3e1e-5c10-4360-ac1c-83b2e026278c,de,08.06.2025
Malboro,FIN,Final Fantasy,106,normal,common,1,105739,e46d8048-03ce-4e07-ba24-f41ba6140a4e,de,08.06.2025
Aerith Rescue Mission,FIN,Final Fantasy,5,normal,common,1,106532,3123d16c-e1e6-4659-a7a3-2ec6efc6bf08,de,08.06.2025
Monk's Fist,FIN,Final Fantasy,265,normal,common,1,106601,995033f0-873d-4e46-b0c9-98ec8ef270ff,de,08.06.2025
"Torgal, A Fine Hound",FIN,Final Fantasy,208,normal,uncommon,1,106422,0f5725aa-42bb-4dfd-9c15-135b38b33da3,de,08.06.2025
Black Waltz No. 3,FIN,Final Fantasy,214,normal,uncommon,1,106696,fe86e41b-b0f6-4aa1-8827-c095c721f304,de,08.06.2025
Swallowed by Leviathan,FIN,Final Fantasy,79,normal,uncommon,1,106521,2270642d-fe2a-4265-aff0-a24a43ebe0a1,de,08.06.2025
"Sidequest: Play Blitzball // World Champion, Celestial Weapon",FIN,Final Fantasy,158,normal,uncommon,1,106401,31e2ad37-73cf-4858-8a3a-fc1165cd21a7,de,08.06.2025
"Rabanastre, Royal City",FIN,Final Fantasy,287,normal,common,1,106294,c44c9bbe-f4c6-41cf-b3c3-b943f4011bc1,de,08.06.2025
Scorpion Sentinel,FIN,Final Fantasy,72,normal,common,1,106503,08ab5220-e5c1-472e-8217-97fd60e1773c,de,08.06.2025
"Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel",FIN,Final Fantasy,115,normal,mythic,1,105652,85eaf5e7-77dc-4842-a70c-ce4ac7f724df,de,08.06.2025
Hero,TFIN,Final Fantasy Tokens,9,normal,common,1,105869,2d132d9b-00dd-4ab9-b195-1857f3cee37b,de,08.06.2025
Blitzball Shot,FIN,Final Fantasy,176,normal,common,1,106417,ec8ab637-3d7d-4712-9f83-8920f808f715,de,08.06.2025
