Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Lumbering Worldwagon,DFT,Aetherdrift,422,foil,rare,1,103420,06a85032-0c45-40f7-901a-3fd77ff212a4,1.43,false,false,near_mint,de,EUR
Nimble Thopterist,DFT,Aetherdrift,53,normal,common,1,103488,47717312-f6c6-4e86-ba6a-a30698962430,0.03,false,false,near_mint,de,EUR
Jibbirik Omnivore,DFT,Aetherdrift,166,normal,common,1,103522,68a0569b-65c8-49ce-91ac-e639b8faf939,0.03,false,false,near_mint,de,EUR
Lotusguard Disciple,DFT,Aetherdrift,21,normal,common,1,103553,80645651-3804-481f-8f8f-ade762a011e1,0.02,false,false,near_mint,de,EUR
Lightning Strike,DFT,Aetherdrift,136,normal,common,1,103461,30077b49-b825-4dbb-a0c7-f3992f647df0,0.05,false,false,near_mint,de,EUR
Syphon Fuel,DFT,Aetherdrift,108,normal,common,2,103493,4af17ae0-1035-4cb2-8974-98b377bfaa48,0.02,false,false,near_mint,de,EUR
Walking Sarcophagus,DFT,Aetherdrift,246,normal,common,1,103562,89ccbd73-9414-48a3-bdcf-e838fcffc08f,0.03,false,false,near_mint,de,EUR
Camera Launcher,DFT,Aetherdrift,232,normal,common,2,103580,968651db-92fb-46cd-acda-9e097668b7c9,0.03,false,false,near_mint,de,EUR
Outpace Oblivion,DFT,Aetherdrift,139,normal,uncommon,1,103619,c22e415f-636f-4394-9b21-600ab720ac98,0.07,false,false,near_mint,de,EUR
Gloryheath Lynx,DFT,Aetherdrift,14,normal,uncommon,1,103332,ea3ac678-8b74-4865-a896-c42692c02341,0.11,false,false,near_mint,de,EUR
Earthrumbler,DFT,Aetherdrift,160,normal,uncommon,1,100068,ee386cd0-934a-4b33-9db3-0a9033ab577e,0.04,false,false,near_mint,de,EUR
Embalmed Ascendant,DFT,Aetherdrift,201,normal,uncommon,1,103063,5cf181ae-daa7-42f9-b667-5e679d80cf34,0.07,false,false,near_mint,de,EUR
Perilous Snare,DFT,Aetherdrift,23,normal,rare,1,103020,47f7e468-2196-4960-a612-37ab326e2a17,0.21,false,false,near_mint,de,EUR
Cloudspire Captain,DFT,Aetherdrift,9,normal,uncommon,1,102971,3380d87a-c460-409c-8d47-9b2fc5ddd2ea,0.07,false,false,near_mint,de,EUR
Skystreak Engineer,DFT,Aetherdrift,61,normal,common,1,103511,5bc9c501-098d-4560-9826-329b05689e0f,0.02,false,false,near_mint,de,EUR
Alacrian Jaguar,DFT,Aetherdrift,152,normal,common,1,103456,2bd40bca-aa54-4e52-8d48-b3709a11e633,0.01,false,false,near_mint,de,EUR
Brightfield Glider,DFT,Aetherdrift,4,normal,common,1,103128,7eb819eb-ba5c-4449-87b5-3894380558bc,0.03,false,false,near_mint,de,EUR
Crash and Burn,DFT,Aetherdrift,119,normal,common,1,103467,339a41a1-b36f-4b81-b74c-220d279c0e26,0.01,false,false,near_mint,de,EUR
Wreckage Wickerfolk,DFT,Aetherdrift,110,normal,common,1,103602,aeff3db7-81ac-4c51-9954-bc1dbcb8c4e3,0.07,false,false,near_mint,de,EUR
Stall Out,DFT,Aetherdrift,66,normal,common,1,103500,4ea0e0d3-833f-4353-b648-57b0b657cc1c,0.03,false,false,near_mint,de,EUR
Spectral Interference,DFT,Aetherdrift,63,normal,common,1,103556,860cb8af-a5f6-47e7-a34b-7b9f11ddc8c6,0.08,false,false,near_mint,de,EUR
Wickerfolk Indomitable,DFT,Aetherdrift,109,normal,uncommon,2,103245,ba78e076-8962-4b3f-b86f-04400b062951,0.04,false,false,near_mint,de,EUR
"Caelorna, Coral Tyrant",DFT,Aetherdrift,40,normal,uncommon,1,103657,e8654e38-4230-4094-b815-778bfb5d06f2,0.22,false,false,near_mint,de,EUR
Dracosaur Auxiliary,DFT,Aetherdrift,122,normal,uncommon,1,103636,cf800b8c-d08e-4644-8ed2-11b839153861,0.07,false,false,near_mint,de,EUR
Wild Roads,DFT,Aetherdrift,269,normal,uncommon,1,103034,4d3d48d1-a98e-40af-b04c-c40b9d52e9ee,0.04,false,false,near_mint,de,EUR
Debris Beetle,DFT,Aetherdrift,199,normal,rare,1,103482,405e7900-f6df-4033-b70b-b1d2a8b6d7c8,0.22,false,false,near_mint,de,EUR
Trip Up,DFT,Aetherdrift,71,normal,common,2,103451,273061f3-7aa7-4cb0-afd6-616252b88948,0.02,false,false,near_mint,de,EUR
Stampeding Scurryfoot,DFT,Aetherdrift,181,normal,common,1,103551,7fc713d7-4a7e-4f1f-b461-e89bb1457d7d,0.03,false,false,near_mint,de,EUR
Collision Course,DFT,Aetherdrift,10,normal,common,1,103526,6b60da34-b622-42de-a249-79545bcbf30d,0.02,false,false,near_mint,de,EUR
Gastal Blockbuster,DFT,Aetherdrift,128,normal,common,1,103650,dca41ec6-8f8f-42ef-abac-cc645c6440b7,0.02,false,false,near_mint,de,EUR
Deathless Pilot,DFT,Aetherdrift,82,normal,common,1,103655,e704fb95-17b7-432a-831c-18abe7d9cc73,0.03,false,false,near_mint,de,EUR
Gearseeker Serpent,DFT,Aetherdrift,43,normal,common,1,103480,3dca0007-42d3-4ee2-8e88-361d80a7103c,0.02,false,false,near_mint,de,EUR
Bestow Greatness,DFT,Aetherdrift,155,normal,common,2,103234,b6a5adee-3482-4c5b-9260-58efa8fec5ba,0.02,false,false,near_mint,de,EUR
Locust Spray,DFT,Aetherdrift,95,normal,uncommon,1,103504,54b3a547-6f74-4cb4-ad98-7e1b75f1a120,0.11,false,false,near_mint,de,EUR
Scrounging Skyray,DFT,Aetherdrift,60,normal,uncommon,1,103645,d60bece3-6f63-4d9e-bca0-cef2d38f1472,0.1,false,false,near_mint,de,EUR
Air Response Unit,DFT,Aetherdrift,1,normal,uncommon,1,103295,d77c8e29-de24-4664-baf8-959608dd99ca,0.03,false,false,near_mint,de,EUR
Monument to Endurance,DFT,Aetherdrift,237,normal,rare,1,103640,d21433ba-0a14-42bc-ad0b-a4ef823a3295,10.0,false,false,near_mint,de,EUR
"Mu Yanling, Wind Rider",DFT,Aetherdrift,52,normal,mythic,1,103111,76423446-d62f-4cc5-a23a-3175be88bd73,1.02,false,false,near_mint,de,EUR
Interface Ace,DFT,Aetherdrift,17,normal,common,2,103385,fcfd487a-a9e6-44e3-80af-bc384316106f,0.07,false,false,near_mint,de,EUR
Dismal Backwater,DFT,Aetherdrift,254,normal,common,2,103357,f20aef3f-79f6-4357-8631-1d141f437def,0.02,false,false,near_mint,de,EUR
Hazard of the Dunes,DFT,Aetherdrift,165,normal,common,1,103621,c3fbee7a-7e73-43cf-bc39-ccb1c63bf837,0.03,false,false,near_mint,de,EUR
Broadcast Rambler,DFT,Aetherdrift,6,normal,common,1,103563,89ce2385-e33d-47b3-96c8-5a4672d9df7c,0.01,false,false,near_mint,de,EUR
Magmakin Artillerist,DFT,Aetherdrift,137,normal,common,1,103454,2ac26341-a100-424d-be84-33fbbf1b4078,0.11,false,false,near_mint,de,EUR
Risky Shortcut,DFT,Aetherdrift,103,normal,common,1,103625,c80aa587-4445-43d7-abc0-654d94ff4cda,0.06,false,false,near_mint,de,EUR
Hulldrifter,DFT,Aetherdrift,47,normal,common,1,103001,402666f8-c9cc-4e8f-abaa-6c38be90cdd2,0.02,false,false,near_mint,de,EUR
Engine Rat,DFT,Aetherdrift,84,normal,common,1,103579,949d6137-98d3-4f46-ab1e-08d7492af307,0.06,false,false,near_mint,de,EUR
